,Date,DailyRevenue
0,2009-12-01,43894.87
1,2009-12-02,52762.06
2,2009-12-03,67413.62
3,2009-12-04,33913.81
4,2009-12-05,9803.050000000001
5,2009-12-06,24390.1
6,2009-12-07,33002.49
7,2009-12-08,44763.340000000004
8,2009-12-09,30763.170000000002
9,2009-12-10,38598.21
10,2009-12-11,39204.17
11,2009-12-13,21577.35
12,2009-12-14,51245.16
13,2009-12-15,46836.63
14,2009-12-16,36927.3
15,2009-12-17,29758.87
16,2009-12-18,31562.72
17,2009-12-20,11355.19
18,2009-12-21,15549.640000000001
19,2009-12-22,10696.59
20,2009-12-23,9485.67
21,2010-01-04,13415.09
22,2010-01-05,19051.19
23,2010-01-06,8731.26
24,2010-01-07,72989.38
25,2010-01-08,30292.7
26,2010-01-10,23157.33
27,2010-01-11,19684.49
28,2010-01-12,38833.58
29,2010-01-13,12391.1
30,2010-01-14,23721.64
31,2010-01-15,13499.550000000001
32,2010-01-17,17363.25
33,2010-01-18,12078.84
34,2010-01-19,21892.791
35,2010-01-20,13244.34
36,2010-01-21,27359.23
37,2010-01-22,29345.83
38,2010-01-24,15552.32
39,2010-01-25,18346.54
40,2010-01-26,38570.37
41,2010-01-27,23722.72
42,2010-01-28,18914.83
43,2010-01-29,25382.441
44,2010-01-31,18261.86
45,2010-02-01,16606.931
46,2010-02-02,19532.03
47,2010-02-03,17230.061
48,2010-02-04,22486.01
49,2010-02-05,19420.74
50,2010-02-07,17023.920000000002
51,2010-02-08,13016.04
52,2010-02-09,18398.260000000002
53,2010-02-10,6082.34
54,2010-02-11,15061.87
55,2010-02-12,9728.96
56,2010-02-14,17772.19
57,2010-02-15,42318.211
58,2010-02-16,25669.010000000002
59,2010-02-17,26455.22
60,2010-02-18,35737.24
61,2010-02-19,18931.99
62,2010-02-21,11394.731
63,2010-02-22,26336.24
64,2010-02-23,20840.010000000002
65,2010-02-24,30392.661
66,2010-02-25,44604.16
67,2010-02-26,12778.641
68,2010-02-28,16741.49
69,2010-03-01,23933.87
70,2010-03-02,21667.8
71,2010-03-03,31849.7
72,2010-03-04,29966.35
73,2010-03-05,25361.64
74,2010-03-07,19034.6
75,2010-03-08,26605.58
76,2010-03-09,19665.69
77,2010-03-10,22905.79
78,2010-03-11,21537.09
79,2010-03-12,19123.05
80,2010-03-14,8947.9
81,2010-03-15,20536.681
82,2010-03-16,21048.78
83,2010-03-17,29543.78
84,2010-03-18,37570.75
85,2010-03-19,35274.3
86,2010-03-21,20485.48
87,2010-03-22,21494.16
88,2010-03-23,41826.29
89,2010-03-24,25970.5
90,2010-03-25,30503.38
91,2010-03-26,29867.35
92,2010-03-28,22402.0
93,2010-03-29,31740.38
94,2010-03-30,33524.51
95,2010-03-31,24591.07
96,2010-04-01,28646.66
97,2010-04-06,17900.83
98,2010-04-07,32146.75
99,2010-04-08,39866.6
100,2010-04-09,14668.53
101,2010-04-11,19732.05
102,2010-04-12,25912.471
103,2010-04-13,25736.04
104,2010-04-14,27054.25
105,2010-04-15,19538.34
106,2010-04-16,19363.82
107,2010-04-18,23934.46
108,2010-04-19,24561.04
109,2010-04-20,21202.35
110,2010-04-21,25873.86
111,2010-04-22,35741.2
112,2010-04-23,14969.64
113,2010-04-25,16574.53
114,2010-04-26,29734.03
115,2010-04-27,43534.06
116,2010-04-28,31181.87
117,2010-04-29,29575.671
